YEAR,NAME,DATE,DRIVER_NAME,DRIVER_NATIONALITY,CONSTRUCTOR_NAME,CONSTRUCTOR_NATIONALITY,POINTS,LAPS,FASTESTLAPTIME,STARTING_POSITION,POSITIONS_GAINED
2021,Hungarian Grand Prix,2021-08-01,Esteban Ocon,French,Alpine F1 Team,French,25.0,70,1:21.421,8,7
2021,British Grand Prix,2021-07-18,Lewis Hamilton,British,Mercedes,German,25.0,52,1:29.699,2,1
2021,Austrian Grand Prix,2021-07-04,Max Verstappen,Dutch,Red Bull,Austrian,26.0,71,1:06.200,1,0
2021,Styrian Grand Prix,2021-06-27,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:08.017,1,0
2021,French Grand Prix,2021-06-20,Max Verstappen,Dutch,Red Bull,Austrian,26.0,53,1:36.404,1,0
2021,Azerbaijan Grand Prix,2021-06-06,Sergio Pérez,Mexican,Red Bull,Austrian,25.0,51,1:44.687,6,5
2021,Monaco Grand Prix,2021-05-23,Max Verstappen,Dutch,Red Bull,Austrian,25.0,78,1:14.649,2,1
2021,Spanish Grand Prix,2021-05-09,Lewis Hamilton,British,Mercedes,German,25.0,66,1:20.665,1,0
2021,Portuguese Grand Prix,2021-05-02,Lewis Hamilton,British,Mercedes,German,25.0,66,1:20.933,2,1
2021,Emilia Romagna Grand Prix,2021-04-18,Max Verstappen,Dutch,Red Bull,Austrian,25.0,63,1:17.524,3,2
2021,Bahrain Grand Prix,2021-03-28,Lewis Hamilton,British,Mercedes,German,25.0,56,1:34.015,2,1
2020,Abu Dhabi Grand Prix,2020-12-13,Max Verstappen,Dutch,Red Bull,Austrian,25.0,55,1:40.958,1,0
2020,Sakhir Grand Prix,2020-12-06,Sergio Pérez,Mexican,Racing Point,British,25.0,87,0:56.789,5,4
2020,Bahrain Grand Prix,2020-11-29,Lewis Hamilton,British,Mercedes,German,25.0,57,1:32.864,1,0
2020,Turkish Grand Prix,2020-11-15,Lewis Hamilton,British,Mercedes,German,25.0,58,1:39.413,6,5
2020,Emilia Romagna Grand Prix,2020-11-01,Lewis Hamilton,British,Mercedes,German,26.0,63,1:15.484,2,1
2020,Portuguese Grand Prix,2020-10-25,Lewis Hamilton,British,Mercedes,German,26.0,66,1:18.750,1,0
2020,Eifel Grand Prix,2020-10-11,Lewis Hamilton,British,Mercedes,German,25.0,60,1:28.145,2,1
2020,Russian Grand Prix,2020-09-27,Valtteri Bottas,Finnish,Mercedes,German,26.0,53,1:37.030,3,2
2020,Tuscan Grand Prix,2020-09-13,Lewis Hamilton,British,Mercedes,German,26.0,59,1:18.833,1,0
2020,Italian Grand Prix,2020-09-06,Pierre Gasly,French,AlphaTauri,Italian,25.0,53,1:24.037,10,9
2020,Belgian Grand Prix,2020-08-30,Lewis Hamilton,British,Mercedes,German,25.0,44,1:47.758,1,0
2020,Spanish Grand Prix,2020-08-16,Lewis Hamilton,British,Mercedes,German,25.0,66,1:19.822,1,0
2020,70th Anniversary Grand Prix,2020-08-09,Max Verstappen,Dutch,Red Bull,Austrian,25.0,52,1:29.465,4,3
2020,British Grand Prix,2020-08-02,Lewis Hamilton,British,Mercedes,German,25.0,52,1:29.238,1,0
2020,Hungarian Grand Prix,2020-07-19,Lewis Hamilton,British,Mercedes,German,26.0,70,1:16.627,1,0
2020,Styrian Grand Prix,2020-07-12,Lewis Hamilton,British,Mercedes,German,25.0,71,1:06.719,1,0
2020,Austrian Grand Prix,2020-07-05,Valtteri Bottas,Finnish,Mercedes,German,25.0,71,1:07.657,1,0
2019,Abu Dhabi Grand Prix,2019-12-01,Lewis Hamilton,British,Mercedes,German,26.0,55,1:39.283,1,0
2019,Brazilian Grand Prix,2019-11-17,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:10.862,1,0
2019,United States Grand Prix,2019-11-03,Valtteri Bottas,Finnish,Mercedes,German,25.0,56,1:36.957,1,0
2019,Mexican Grand Prix,2019-10-27,Lewis Hamilton,British,Mercedes,German,25.0,71,1:19.461,3,2
2019,Japanese Grand Prix,2019-10-13,Valtteri Bottas,Finnish,Mercedes,German,25.0,52,1:31.862,3,2
2019,Russian Grand Prix,2019-09-29,Lewis Hamilton,British,Mercedes,German,26.0,53,1:35.761,2,1
2019,Singapore Grand Prix,2019-09-22,Sebastian Vettel,German,Ferrari,Italian,25.0,61,1:44.802,3,2
2019,Italian Grand Prix,2019-09-08,Charles Leclerc,Monegasque,Ferrari,Italian,25.0,53,1:23.009,1,0
2019,Belgian Grand Prix,2019-09-01,Charles Leclerc,Monegasque,Ferrari,Italian,25.0,44,1:46.664,1,0
2019,Hungarian Grand Prix,2019-08-04,Lewis Hamilton,British,Mercedes,German,25.0,70,1:18.528,3,2
2019,German Grand Prix,2019-07-28,Max Verstappen,Dutch,Red Bull,Austrian,26.0,64,1:16.645,2,1
2019,British Grand Prix,2019-07-14,Lewis Hamilton,British,Mercedes,German,26.0,52,1:27.369,2,1
2019,Austrian Grand Prix,2019-06-30,Max Verstappen,Dutch,Red Bull,Austrian,26.0,71,1:07.475,2,1
2019,French Grand Prix,2019-06-23,Lewis Hamilton,British,Mercedes,German,25.0,53,1:32.764,1,0
2019,Canadian Grand Prix,2019-06-09,Lewis Hamilton,British,Mercedes,German,25.0,70,1:14.813,2,1
2019,Monaco Grand Prix,2019-05-26,Lewis Hamilton,British,Mercedes,German,25.0,78,1:16.167,1,0
2019,Spanish Grand Prix,2019-05-12,Lewis Hamilton,British,Mercedes,German,26.0,66,1:18.492,2,1
2019,Azerbaijan Grand Prix,2019-04-28,Valtteri Bottas,Finnish,Mercedes,German,25.0,51,1:44.024,1,0
2019,Chinese Grand Prix,2019-04-14,Lewis Hamilton,British,Mercedes,German,25.0,56,1:35.892,2,1
2019,Bahrain Grand Prix,2019-03-31,Lewis Hamilton,British,Mercedes,German,25.0,57,1:33.528,3,2
2019,Australian Grand Prix,2019-03-17,Valtteri Bottas,Finnish,Mercedes,German,26.0,58,1:25.580,2,1
2018,Abu Dhabi Grand Prix,2018-11-25,Lewis Hamilton,British,Mercedes,German,25.0,55,1:41.357,1,0
2018,Brazilian Grand Prix,2018-11-11,Lewis Hamilton,British,Mercedes,German,25.0,71,1:11.795,1,0
2018,Mexican Grand Prix,2018-10-28,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:19.186,2,1
2018,United States Grand Prix,2018-10-21,Kimi Räikkönen,Finnish,Ferrari,Italian,25.0,56,1:38.482,2,1
2018,Japanese Grand Prix,2018-10-07,Lewis Hamilton,British,Mercedes,German,25.0,53,1:32.785,1,0
2018,Russian Grand Prix,2018-09-30,Lewis Hamilton,British,Mercedes,German,25.0,53,1:35.916,2,1
2018,Singapore Grand Prix,2018-09-16,Lewis Hamilton,British,Mercedes,German,25.0,61,1:42.913,1,0
2018,Italian Grand Prix,2018-09-02,Lewis Hamilton,British,Mercedes,German,25.0,53,1:22.497,3,2
2018,Belgian Grand Prix,2018-08-26,Sebastian Vettel,German,Ferrari,Italian,25.0,44,1:46.644,2,1
2018,Hungarian Grand Prix,2018-07-29,Lewis Hamilton,British,Mercedes,German,25.0,70,1:21.107,1,0
2018,German Grand Prix,2018-07-22,Lewis Hamilton,British,Mercedes,German,25.0,67,1:15.545,14,13
2018,British Grand Prix,2018-07-08,Sebastian Vettel,German,Ferrari,Italian,25.0,52,1:30.696,2,1
2018,Austrian Grand Prix,2018-07-01,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:07.442,4,3
2018,French Grand Prix,2018-06-24,Lewis Hamilton,British,Mercedes,German,25.0,53,1:34.509,1,0
2018,Canadian Grand Prix,2018-06-10,Sebastian Vettel,German,Ferrari,Italian,25.0,68,1:13.964,1,0
2018,Monaco Grand Prix,2018-05-27,Daniel Ricciardo,Australian,Red Bull,Austrian,25.0,78,1:15.562,1,0
2018,Spanish Grand Prix,2018-05-13,Lewis Hamilton,British,Mercedes,German,25.0,66,1:19.133,1,0
2018,Azerbaijan Grand Prix,2018-04-29,Lewis Hamilton,British,Mercedes,German,25.0,51,1:45.412,2,1
2018,Chinese Grand Prix,2018-04-15,Daniel Ricciardo,Australian,Red Bull,Austrian,25.0,56,1:35.785,6,5
2018,Bahrain Grand Prix,2018-04-08,Sebastian Vettel,German,Ferrari,Italian,25.0,57,1:34.453,1,0
2018,Australian Grand Prix,2018-03-25,Sebastian Vettel,German,Ferrari,Italian,25.0,58,1:26.469,3,2
2017,Abu Dhabi Grand Prix,2017-11-26,Valtteri Bottas,Finnish,Mercedes,German,25.0,55,1:40.650,1,0
2017,Brazilian Grand Prix,2017-11-12,Sebastian Vettel,German,Ferrari,Italian,25.0,71,1:12.539,2,1
2017,Mexican Grand Prix,2017-10-29,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:18.892,2,1
2017,United States Grand Prix,2017-10-22,Lewis Hamilton,British,Mercedes,German,25.0,56,1:38.776,1,0
2017,Japanese Grand Prix,2017-10-08,Lewis Hamilton,British,Mercedes,German,25.0,53,1:33.780,1,0
2017,Malaysian Grand Prix,2017-10-01,Max Verstappen,Dutch,Red Bull,Austrian,25.0,56,1:34.467,3,2
2017,Singapore Grand Prix,2017-09-17,Lewis Hamilton,British,Mercedes,German,25.0,58,1:45.008,5,4
2017,Italian Grand Prix,2017-09-03,Lewis Hamilton,British,Mercedes,German,25.0,53,1:23.488,1,0
2017,Belgian Grand Prix,2017-08-27,Lewis Hamilton,British,Mercedes,German,25.0,44,1:46.603,1,0
2017,Hungarian Grand Prix,2017-07-30,Sebastian Vettel,German,Ferrari,Italian,25.0,70,1:20.807,1,0
2017,British Grand Prix,2017-07-16,Lewis Hamilton,British,Mercedes,German,25.0,51,1:30.621,1,0
2017,Austrian Grand Prix,2017-07-09,Valtteri Bottas,Finnish,Mercedes,German,25.0,71,1:07.847,1,0
2017,Azerbaijan Grand Prix,2017-06-25,Daniel Ricciardo,Australian,Red Bull,Austrian,25.0,51,1:44.882,10,9
2017,Canadian Grand Prix,2017-06-11,Lewis Hamilton,British,Mercedes,German,25.0,70,1:14.551,1,0
2017,Monaco Grand Prix,2017-05-28,Sebastian Vettel,German,Ferrari,Italian,25.0,78,1:15.238,2,1
2017,Spanish Grand Prix,2017-05-14,Lewis Hamilton,British,Mercedes,German,25.0,66,1:23.593,1,0
